Time [s],Channel 5,Channel 6
25.684895200,0,0
25.684903840,1,0
25.709867680,0,0
25.709875520,0,1
25.734839520,0,0
25.734848000,1,0
25.759811040,0,0
25.759818880,0,1
25.784782560,0,0
25.784791200,1,0
25.809755200,0,0
25.809763200,0,1
25.834726880,0,0
25.834735360,1,0
25.859699840,0,0
25.859707840,0,1
25.884672160,0,0
25.884680960,1,0
25.909645760,0,0
25.909653760,0,1
25.934619680,0,0
25.934628480,1,0
25.959592960,0,0
25.959600960,0,1
25.984566080,0,0
25.984574720,1,0
26.009537760,0,0
26.009545760,0,1
26.034509760,0,0
26.034518400,1,0
26.059482560,0,0
26.059490560,0,1
26.084455520,0,0
26.084464320,1,0
26.109428480,0,0
26.109436480,0,1
26.134400000,0,0
26.134408800,1,0
26.138886400,0,0
26.163869920,1,0
26.184346720,0,0
26.184354720,0,1
26.209319040,0,0
26.209327840,1,0
26.234292800,0,0
26.234300800,0,1
26.259265440,0,0
26.259274240,1,0
26.284239520,0,0
26.284247520,0,1
26.309213760,0,0
26.309222400,1,0
26.334186880,0,0
26.334194880,0,1
26.359158400,0,0
26.359166880,1,0
26.384129920,0,0
26.384137760,0,1
26.409101760,0,0
26.409110240,1,0
26.434074880,0,0
26.434082880,0,1
26.459047680,0,0
26.459056320,1,0
26.484020480,0,0
26.484028320,0,1
26.508992160,0,0
26.509000640,1,0
26.533963840,0,0
26.533971840,0,1
26.558935360,0,0
26.558944000,1,0
26.583906560,0,0
26.583914560,0,1
26.608877280,0,0
26.608885760,1,0
26.633849440,0,0
26.633857440,0,1
26.658820160,0,0
26.658828800,1,0
26.683791040,0,0
26.683798880,0,1
26.708761280,0,0
26.708769920,1,0
26.733732800,0,0
26.733740640,0,1
26.758704160,0,0
26.758712800,1,0
26.783676000,0,0
26.783684000,0,1
26.808646560,0,0
26.808655040,1,0
26.833618240,0,0
26.833626240,0,1
26.858588800,0,0
26.858597600,1,0
26.883561920,0,0
26.883569920,0,1
26.908533920,0,0
26.908542560,1,0
26.933506080,0,0
26.933514080,0,1
26.958478560,0,0
26.958487360,1,0
26.983451200,0,0
26.983459360,0,1
27.008424320,0,0
27.008432960,1,0
27.033398080,0,0
27.033406080,0,1
27.058371680,0,0
27.058380320,1,0
27.083344160,0,0
27.083352320,0,1
27.108316160,0,0
27.108324960,1,0
27.133289440,0,0
27.133297600,0,1
27.138274720,0,0
27.163256800,0,1
27.183232800,0,0
27.183241600,1,0
27.208204960,0,0
27.208212960,0,1
27.233177600,0,0
27.233186240,1,0
27.258150240,0,0
27.258158400,0,1
27.283122560,0,0
27.283131360,1,0
27.308095520,0,0
27.308103520,0,1
27.333067520,0,0
27.333076320,1,0
27.358040000,0,0
27.358048160,0,1
27.383012000,0,0
27.383020480,1,0
27.407983680,0,0
27.407991520,0,1
27.432955520,0,0
27.432964160,1,0
27.457928320,0,0
27.457936320,0,1
27.482900800,0,0
27.482909280,1,0
27.507873440,0,0
27.507881280,0,1
27.532845440,0,0
27.532853920,1,0
27.557818880,0,0
27.557826880,0,1
27.582792480,0,0
27.582800960,1,0
27.607766080,0,0
27.607773920,0,1
27.632738560,0,0
27.632747200,1,0
27.657711680,0,0
27.657719680,0,1
27.682684320,0,0
27.682692800,1,0
27.707657920,0,0
27.707665920,0,1
27.732629440,0,0
27.732638080,1,0
27.757602240,0,0
27.757610080,0,1
27.782574720,0,0
27.782583200,1,0
27.807547840,0,0
27.807555680,0,1
27.832518880,0,0
27.832527360,1,0
27.857492000,0,0
27.857499840,0,1
27.882466560,0,0
27.882475200,1,0
27.907441600,0,0
27.907449600,0,1
27.932415840,0,0
27.932424640,1,0
27.957390720,0,0
27.957398720,0,1
27.982365760,0,0
27.982374560,1,0
28.007340160,0,0
28.007348160,0,1
28.032313760,0,0
28.032322400,1,0
28.057287520,0,0
28.057295520,0,1
28.082259840,0,0
28.082268640,1,0
28.107234720,0,0
28.107242720,0,1
28.132208160,0,0
28.132216800,1,0
28.142188640,0,0
28.167172000,1,0
28.182154880,0,0
28.182163040,0,1
28.207128480,0,0
28.207137120,1,0
28.232101600,0,0
28.232109600,0,1
28.257075840,0,0
28.257084640,1,0
28.282050080,0,0
28.282058240,0,1
28.307024480,0,0
28.307033120,1,0
28.331999360,0,0
28.332007520,0,1
28.356973600,0,0
28.356982240,1,0
28.381947200,0,0
28.381955200,0,1
28.406918880,0,0
28.406927520,1,0
28.431891040,0,0
28.431898880,0,1
28.456864320,0,0
28.456872960,1,0
28.481837600,0,0
28.481845440,0,1
28.506811040,0,0
28.506819520,1,0
28.531786080,0,0
28.531793920,0,1
28.556758880,0,0
28.556767520,1,0
28.581732640,0,0
28.581740480,0,1
28.606706400,0,0
